VOW3.DE
Date,Open,High,Low,Close,Adj Close,Volume
2015-08-11,188.899994,189.050003,183.100006,183.800003,167.305832,1812734
2015-08-12,180.050003,180.600006,176.750000,177.800003,161.844284,2217331
2015-08-13,181.350006,181.899994,177.850006,178.449997,162.435959,1345938
2015-08-14,178.800003,180.899994,177.449997,178.850006,162.800064,987229
2015-08-17,180.199997,181.699997,176.100006,177.949997,161.980820,1027544
2015-08-18,177.250000,178.350006,175.800003,176.550003,160.706451,827613
2015-08-19,175.050003,176.199997,172.699997,173.250000,157.702606,1414654
2015-08-20,171.000000,173.350006,168.550003,169.500000,154.289124,2006187
2015-08-21,166.000000,170.800003,165.050003,166.949997,151.967941,2685289
2015-08-24,161.399994,164.600006,154.000000,159.699997,145.368561,4576337
2015-08-25,161.899994,170.800003,160.149994,169.100006,153.925018,3733314
2015-08-26,167.000000,170.850006,164.649994,168.300003,153.196808,1965158
2015-08-27,172.800003,174.050003,170.800003,172.199997,156.746811,1694524
2015-08-28,172.699997,172.949997,169.350006,171.350006,155.973099,967371
2015-08-31,169.800003,170.800003,168.100006,169.500000,154.289124,896022
2015-09-01,167.000000,167.300003,163.149994,164.350006,149.601273,1604037
2015-09-02,164.699997,165.800003,162.250000,163.000000,148.372421,1410786
2015-09-03,164.500000,167.899994,164.000000,166.699997,151.740387,1673355
2015-09-04,164.800003,166.050003,160.800003,162.199997,147.644211,1454489
2015-09-07,163.800003,164.550003,162.550003,162.750000,148.144867,598968
2015-09-08,165.350006,168.500000,165.149994,166.949997,151.967941,1219204
2015-09-09,171.000000,172.449997,169.550003,169.750000,154.516693,1619341
2015-09-10,166.250000,170.000000,166.199997,167.949997,152.878235,1148347
2015-09-11,168.399994,169.100006,166.699997,167.949997,152.878235,833435
2015-09-14,168.500000,169.949997,165.600006,167.100006,152.104507,938711
2015-09-15,168.800003,170.199997,167.100006,169.199997,154.016037,969840
2015-09-16,170.350006,171.449997,168.000000,169.649994,154.425674,1207214
2015-09-17,169.500000,170.550003,167.800003,167.800003,152.741684,1192953
2015-09-18,167.050003,167.300003,161.649994,162.399994,147.826263,3230795
2015-09-21,139.949997,142.899994,125.400002,132.199997,120.336403,13754455
2015-09-22,131.199997,131.600006,101.349998,106.000000,96.487602,14197367
2015-09-23,105.000000,117.000000,95.510002,111.500000,101.494019,11570539
2015-09-24,116.599998,120.300003,111.150002,112.150002,102.085693,7305225
2015-09-25,116.550003,117.000000,105.000000,107.300003,97.670929,4917154
2015-09-28,107.000000,107.000000,97.349998,99.300003,90.388847,5577300
2015-09-29,96.900002,101.449997,94.360001,95.199997,86.656776,4578800
2015-09-30,100.699997,101.599998,95.599998,97.750000,88.977943,3759413
2015-10-01,100.800003,103.250000,95.279999,96.500000,87.840118,3846075
2015-10-02,96.839996,97.510002,90.699997,92.360001,84.071640,4299518
2015-10-05,92.000000,95.000000,86.360001,93.519997,85.127541,4019031
2015-10-06,93.900002,98.110001,90.750000,97.089996,88.377174,3258238
2015-10-07,99.000000,107.849998,98.660004,104.000000,94.667068,4079393
2015-10-08,105.000000,110.750000,102.400002,103.500000,94.211937,3735305
2015-10-09,105.949997,107.699997,102.949997,106.599998,97.033752,2977626
2015-10-12,106.599998,108.900002,106.050003,108.550003,98.808754,1891476
2015-10-13,108.599998,108.900002,103.800003,106.300003,96.760666,1883642
2015-10-14,105.300003,110.000000,104.000000,106.599998,97.033752,2320733
2015-10-15,107.750000,108.750000,101.650002,102.800003,93.574768,2122739
2015-10-16,103.500000,103.750000,100.099998,100.599998,91.572182,1842135
2015-10-19,100.250000,101.150002,97.529999,99.190002,90.288719,1893624
2015-10-20,99.099998,100.199997,97.900002,98.699997,89.842690,1232586
2015-10-21,99.379997,100.750000,98.029999,100.400002,91.390137,1352464
2015-10-22,100.500000,103.849998,99.680000,103.800003,94.485023,1677013
2015-10-23,105.300003,108.050003,104.050003,107.699997,98.035034,1645859
2015-10-26,108.000000,108.199997,106.300003,107.000000,97.397850,792426
2015-10-27,107.000000,107.099998,104.349998,105.150002,95.713875,918657
2015-10-28,105.500000,109.949997,102.650002,109.349998,99.536957,2428361
2015-10-29,110.000000,110.250000,107.050003,108.400002,98.672218,1563109
